iter	Passed	Remaining
0	0	6468
1	1	4488
2	1	3854
3	1	3498
4	2	3316
5	2	3173
6	2	3048
7	2	2980
8	3	2905
9	3	2862
10	3	2812
11	4	2793
12	4	2761
13	4	2725
14	5	2761
15	5	2734
16	5	2718
17	5	2713
18	6	2704
19	6	2689
20	6	2689
21	7	2681
22	7	2686
23	7	2675
24	8	2661
25	8	2648
26	8	2633
27	8	2620
28	9	2608
29	9	2597
30	9	2590
31	10	2598
32	10	2628
33	10	2615
34	11	2628
35	11	2619
36	11	2614
37	12	2613
38	12	2606
39	12	2602
40	13	2599
41	13	2598
42	13	2595
43	13	2590
44	14	2612
45	14	2606
46	15	2602
47	15	2601
48	15	2621
49	16	2621
50	16	2616
51	16	2612
52	17	2629
53	17	2623
54	17	2621
55	18	2617
56	18	2610
57	18	2605
58	18	2598
59	19	2593
60	19	2588
61	19	2584
62	19	2579
63	20	2607
64	20	2625
65	21	2637
66	21	2651
67	22	2663
68	22	2700
69	23	2718
70	23	2722
71	24	2720
72	24	2716
73	24	2712
74	25	2747
75	25	2756
76	26	2760
77	26	2757
78	26	2753
79	27	2748
80	27	2742
81	27	2736
82	27	2731
83	28	2726
84	28	2720
85	28	2715
86	29	2713
87	29	2710
88	29	2706
89	30	2704
90	30	2701
91	30	2700
92	30	2697
93	31	2694
94	31	2692
95	31	2691
96	32	2690
97	32	2686
98	32	2682
99	33	2682
100	33	2679
101	33	2678
102	34	2673
103	34	2669
104	34	2665
105	34	2661
106	35	2658
107	35	2656
108	35	2654
109	36	2657
110	36	2690
111	37	2711
112	38	2726
113	38	2756
114	39	2770
115	39	2770
116	40	2770
117	40	2779
118	41	2787
119	41	2785
120	41	2784
121	42	2783
122	42	2778
123	42	2777
124	43	2781
125	43	2785
126	43	2791
127	44	2786
128	44	2785
129	44	2782
130	45	2781
131	45	2786
132	46	2789
133	46	2791
134	46	2795
135	47	2794
136	47	2790
137	47	2792
138	48	2794
139	48	2791
140	48	2791
141	49	2789
142	49	2792
143	49	2787
144	50	2788
145	50	2785
146	51	2807
147	51	2821
148	52	2830
149	52	2833
150	53	2836
151	53	2837
152	53	2837
153	54	2835
154	54	2836
